identifier,brand,platform,category,title,url,image,rating,reviews
B00RP0GHBO,Frida,Amazon,,Baby Nasal Aspirator NoseFrida the Snotsucker with 24 Extra Hygiene Filters by Frida Baby,https://www.amazon.com/dp/B00RP0GHBO,https://m.media-amazon.com/images/I/717raek5EBS._AC_UL320_.jpg,4.7,31139
B00171WXII,Frida,Amazon,,FridaBaby Baby Nasal Aspirator NoseFrida the Snotsucker by Frida Baby,https://www.amazon.com/dp/B00171WXII,https://m.media-amazon.com/images/I/61AP5KbxxnL._AC_SX352_SY330_.jpg,4.7,28579
B07T16DQ31,Frida,Amazon,,"The 3-Step Cradle Cap System by Fridababy | DermaFrida The FlakeFixer | Sponge, Brush, Comb and Storage Stand for Babies with Cradle Cap",https://www.amazon.com/dp/B07T16DQ31,https://m.media-amazon.com/images/I/71A4965E9bS._AC_UL320_.jpg,4.8,24319
B07XPX3YGL,Frida,Amazon,,FridaBaby Replacement Sponges for The 3-Step Cradle Cap System by Dermafrida The Flakefixer 2 Pack of Soft Sponges Work with The Flakefixer System(Sold Separately),https://www.amazon.com/dp/B07XPX3YGL,https://m.media-amazon.com/images/I/71B49XMT15L._AC_SX352_SY330_.jpg,4.8,24319
B099LFH42W,Frida,Amazon,,The 3-Step Cradle Cap System with Scalp Spray + Scalp Mask by Fridababy,https://www.amazon.com/dp/B099LFH42W,https://m.media-amazon.com/images/I/71GH4HA8aJL._AC_SX352_SY330_.jpg,4.8,24319
B007RAGALO,Frida,Amazon,,Windi Gas and Colic Reliever for Babies (10 Count) by Frida Baby,https://www.amazon.com/dp/B007RAGALO,https://m.media-amazon.com/images/I/517wJoYY46L._AC_SX352_SY330_.jpg,4.5,19621
B087XRDRF6,Frida,Amazon,,"FridaBaby 3-in-1 Nose, Nail + Ear Picker by Frida Baby the Makers of NoseFrida the SnotSucker, Safely Clean Baby's Boogers, Ear Wax & More",https://www.amazon.com/dp/B087XRDRF6,https://m.media-amazon.com/images/I/71WkpvHhEkS._AC_SX352_SY330_.jpg,4.7,19305
B08MNPS5S5,Frida,Amazon,,FridaBaby The NoseFrida Filter Bundle with 3in1 Picker,https://www.amazon.com/dp/B08MNPS5S5,https://m.media-amazon.com/images/I/51-LnD+OS1S._AC_UL320_.jpg,4.7,19305
B07TXLZ8MR,Frida,Amazon,,MomWasher (New Packaging),https://www.amazon.com/dp/B07TXLZ8MR,https://m.media-amazon.com/images/I/71Lg1Cz4ldL._AC_UL320_.jpg,4.8,18168
B073XVXQ6R,Frida,Amazon,,"Medi Frida the Accu-Dose Pacifier Baby Medicine Dispenser by FridaBaby, 1 Count (Pack of 1)",https://www.amazon.com/dp/B073XVXQ6R,https://m.media-amazon.com/images/I/61bsvKO2j3L._AC_UL320_.jpg,4.7,14784
B08PFTNMWN,Frida,Amazon,,MediFrida The Accu-Dose Pacifier Baby Medicine Dispenser + Baby Nasal Aspirator NoseFrida The Snotsucker by Frida Baby,https://www.amazon.com/dp/B08PFTNMWN,https://m.media-amazon.com/images/I/71FpzyNfgUL._AC_SX352_SY330_.jpg,4.7,14784
B09QBTFGMQ,Frida,Amazon,,Mobile Medicine Cabinet Travel Kit by Frida Baby | Portable Carrying Case Stocked with Wellness Essentials,https://www.amazon.com/dp/B09QBTFGMQ,https://m.media-amazon.com/images/I/71SXo-lGCdL._AC_SX352_SY330_.jpg,4.7,14784
